TAILLE,TEMPS,VITESSE_GiB_PAR_SECONDES,SECONDES,DEBIT_EN_MiB_PAR_SECONDE,VARIANCE,ECART-TYPE
148.00,00:37:17,,,,,
148.00,00:37:14,,,,,
148.00,00:36:48,,,,,
148.00,00:36:42,,,,,
148.00,00:36:33,,,,,
148.00,00:36:49,,,,,
148.00,00:35:37,,,,,
148.00,00:36:33,,,,,
148.00,00:35:00,,,,,
148.00,00:35:14,,,,,
100.00,00:24:20,,,,,
100.00,00:23:14,,,,,
100.00,00:23:31,,,,,
100.00,00:24:20,,,,,
100.00,00:23:29,,,,,
100.00,00:22:07,,,,,
100.00,00:22:11,,,,,
100.00,00:22:12,,,,,
100.00,00:23:51,,,,,
100.00,00:22:52,,,,,
50.00,00:14:23,,,,,
50.00,00:13:30,,,,,
50.00,00:13:43,,,,,
50.00,00:13:42,,,,,
50.00,00:14:14,,,,,
50.00,00:17:01,,,,,
50.00,00:13:51,,,,,
50.00,00:13:48,,,,,
50.00,00:14:58,,,,,
50.00,00:14:35,,,,,
25.00,00:05:12,,,,,
25.00,00:05:23,,,,,
25.00,00:05:47,,,,,
25.00,00:05:30,,,,,
25.00,00:06:38,,,,,
25.00,00:05:17,,,,,
25.00,00:07:17,,,,,
25.00,00:07:18,,,,,
25.00,00:05:32,,,,,
25.00,00:05:16,,,,,
10.00,00:02:31,,,,,
10.00,00:01:34,,,,,
10.00,00:01:32,,,,,
10.00,00:01:33,,,,,
10.00,00:01:33,,,,,
10.00,00:01:33,,,,,
10.00,00:01:33,,,,,
10.00,00:01:33,,,,,
10.00,00:01:33,,,,,
10.00,00:01:33,,,,,
5.00,00:00:50,,,,,
5.00,00:00:47,,,,,
5.00,00:00:47,,,,,
5.00,00:00:47,,,,,
5.00,00:00:47,,,,,
5.00,00:00:47,,,,,
5.00,00:00:47,,,,,
